,FORM_PARENT,FORM_GRAND_PARENT,FORM_CHILD_1,FORM_CHILD_2,FORM_CHILD_3
0,série,estreou,,,
1,estreou,,A,exibida,
2,série,estreou,aqui,por,
3,exibida,série,,,
4,exibida,série,Cultura,,
5,Cultura,por,,,
6,por,exibida,a,,
7,,,série,em,.
8,estreou,,TVI,,
9,TVI,em,,,
10,em,estreou,a,de,
11,TVI,em,Portugal,,
12,de,TVI,,,
13,estreou,,,,
14,agredido,informou,,,
15,agredido,informou,,,
16,informou,,O,próprio,
17,,,agredido,a,de
18,informou,,polícia,,
19,polícia,a,,,
20,a,informou,a,,
21,informou,,tratava,,
22,tratava,de,,,
23,tratava,de,,,
24,tratava,de,,,
25,de,informou,que,não,se
26,tratava,de,agressores,,
27,agressores,de,,,
28,de,tratava,os,,
29,informou,,,,
30,fizeram,,gramado,,
31,gramado,Em,,,
32,Em,fizeram,o,,
33,fizeram,,,,
34,fizeram,,de,,
35,antes,fizeram,jogo,,
36,jogo,de,,,
37,de,antes,o,,
38,fizeram,,,,
39,fizeram,,de,,
40,representantes,fizeram,torcidas,,
41,torcidas,de,,,
42,de,representantes,as,de,
43,torcidas,de,times,,
44,times,de,,,
45,times,de,,,
46,de,torcidas,os,grande,de
47,times,de,São_Paulo,,
48,de,times,(,Corinthians,)
49,São_Paulo,de,,,
50,São_Paulo,de,",",São_Paulo,","
51,Corinthians,São_Paulo,,,
52,Corinthians,São_Paulo,,,
53,Corinthians,São_Paulo,,,
54,Corinthians,São_Paulo,,,
55,Corinthians,São_Paulo,,,
56,Corinthians,São_Paulo,,,
57,São_Paulo,de,,,
58,,,Em,",",antes
59,manifestação,fizeram,,,
60,fizeram,,uma,por,
61,manifestação,fizeram,paz,,
62,paz,por,,,
63,por,manifestação,a,,
64,fizeram,,,,
65,cita,,exemplo,,
66,Como,cita,em,,
67,exemplo,Como,combate,,
68,combate,em,,,
69,em,exemplo,o,a,
70,combate,em,violência,,
71,violência,a,,,
72,a,combate,a,,
73,cita,,,,
74,prefeito,cita,,,
75,cita,,o,carioca,
76,prefeito,cita,,,
77,,,Como,",",prefeito
78,criação,cita,,,
79,cita,,a,de,
80,criação,cita,Guarda_Municipal,,
81,Guarda_Municipal,de,,,
82,de,criação,a,",",grupo
83,Guarda_Municipal,de,,,
84,grupo,Guarda_Municipal,,,
85,Guarda_Municipal,de,um,de,tem
86,grupo,Guarda_Municipal,atividades,,
87,de,grupo,especiais,,
88,atividades,de,,,
89,tem,grupo,,,
90,grupo,Guarda_Municipal,que,atuado,
91,tem,grupo,mais,em,
92,atuado,tem,,,
93,atuado,tem,liberação,,
94,liberação,em,,,
95,em,atuado,a,de,
96,liberação,em,áreas,,
97,de,liberação,ocupadas,,
98,ocupadas,áreas,,,
99,áreas,de,tradicionalmente,por,
100,ocupadas,áreas,camelôs,,
101,por,ocupadas,,,
102,cita,,,,
103,Foram,conta,,,
104,conta,,«,reabilitados,pontos
105,Foram,conta,,,
106,pontos,Foram,,,
107,Foram,conta,65,de,","
108,pontos,Foram,cidades,,
109,cidades,de,,,
110,de,pontos,a,,
111,pontos,Foram,,,
112,pontos,Foram,como,e,viraram
113,usados,pontos,pontos,,
114,como,usados,de,,
115,pontos,como,venda,,
116,de,pontos,de,,
117,venda,de,drogas,,
118,de,venda,,,
119,usados,pontos,,,
120,viraram,usados,,,
121,usados,pontos,que,quiosques,
122,viraram,usados,de,,
123,quiosques,viraram,flores,,
124,de,quiosques,,,
125,Foram,conta,,,
126,conta,,,,
127,,,Foram,",",Maia
128,conta,,,,
129,conta,,,,
130,cliente,passará,,,
131,passará,,O,,
132,,,cliente,cartão,em
133,cartão,passará,,,
134,passará,,seu,de,Bradesco_Visa
135,cartão,passará,débito,ou,de
136,de,cartão,,,
137,de,cartão,,,
138,de,cartão,crédito,,
139,de,de,,,
140,cartão,passará,,,
141,passará,,terminal,,
142,terminal,em,,,
143,em,passará,o,de,
144,terminal,em,empresa,,
145,empresa,de,,,
146,de,terminal,a,conveniada,
147,empresa,de,,,
148,passará,,,,
149,passará,,datas,,
150,datas,fixará,,,
151,fixará,passará,as,de,
152,datas,fixará,pagamento,,
153,de,datas,de,,
154,pagamento,de,compras,,
155,compras,de,,,
156,de,pagamento,suas,,
157,passará,,,,
158,debitarão,,data,,
159,data,Em,,,
160,Em,debitarão,a,acordada,
161,data,Em,,,
162,debitarão,,,,
163,computadores,debitarão,,,
164,debitarão,,os,de,
165,computadores,debitarão,Bradesco,,
166,Bradesco,de,,,
167,de,computadores,o,,
168,,,Em,",",computadores
169,debitarão,,,,
170,debitarão,,,,
171,debitarão,,,,
172,conta,debitarão,,,
173,debitarão,,a,de,
174,conta,debitarão,cliente,,
175,cliente,de,,,
176,de,conta,o,,
177,debitarão,,,,
178,debitarão,,(,depósito,)
179,creditarão,debitarão,,,
180,creditarão,debitarão,,,
181,creditarão,debitarão,,,
182,empresa,creditarão,,,
183,creditarão,debitarão,a,vendedora,
184,empresa,creditarão,,,
185,debitarão,,,,
186,ficará,,educação,,
187,Sem,ficará,,,
188,ficará,,,,
189,ficará,,,,
190,,,Sem,",",reforma
191,ficará,,,,
192,ficará,,,,
193,ficará,,,,
194,ficará,,,,
195,período,foi,,,
196,foi,,O,de,de
197,período,foi,tarde,,
198,tarde,de,,,
199,de,período,a,,
200,período,foi,Seminário_Internacional,,
201,Seminário_Internacional,de,,,
202,de,período,o,,
203,,,período,dominado,.
204,foi,,por,,
205,dominado,foi,conceito,,
206,conceito,por,,,
207,por,dominado,o,de,
208,conceito,por,Qualidade_Total,,
209,de,conceito,,,
210,foi,,,,
211,concentrou,,domingo,,
212,domingo,Em,,,
213,Em,concentrou,o,,
214,concentrou,,,,
215,concentrou,,Campos,,
216,em,concentrou,(,km,)
217,Campos,em,,,
218,km,Campos,,,
219,Campos,em,280,a,
220,km,Campos,norte,,
221,norte,a,,,
222,a,km,o,de,
223,norte,a,Rio,,
224,Rio,de,,,
225,de,norte,o,,
226,Campos,em,,,
227,concentrou,,,,
228,concentrou,,,,
229,,,Em,",",em
230,críticas,concentrou,,,
231,concentrou,,as,,
232,concentrou,,Cardoso,,
233,em,concentrou,e,Lula,
234,Cardoso,em,,,
235,Cardoso,em,,,
236,concentrou,,,,
237,,,é,.,
238,é,Disse,,,
239,é,Disse,,,
240,Disse,,que,FHC,incompetente
241,é,Disse,administrativamente,,
242,incompetente,é,,,
243,é,Disse,,,
244,é,é,,,
245,é,é,,,
246,é,Disse,que,Lula,inexperiente
247,é,é,,,
248,é,Disse,,,
249,gosta,é,,,
250,gosta,é,,,
251,é,Disse,que,não,de
252,gosta,é,trabalhar,,
253,de,gosta,,,
254,Disse,,,,
255,havia,,organizadores,,
256,organizadores,Segundo,,,
257,Segundo,havia,os,,
258,havia,,,,
259,,,Segundo,",",pessoas
260,pessoas,havia,,,
261,havia,,6.000,,
262,havia,,comício,,
263,comício,em,,,
264,em,havia,o,,
265,havia,,21h,,
266,21h,a,,,
267,a,havia,as,,
268,havia,,,,
269,falar,começou,,,
270,começou,havia,,,
271,havia,,Brizola,a,falar
272,começou,havia,,,
273,começou,havia,quando,,
274,havia,,,,
275,aplicação,sugere,,,
276,sugere,,A,de,
277,aplicação,sugere,observações,,
278,observações,de,,,
279,de,aplicação,essas,a,
280,observações,de,caso,e,a
281,caso,a,,,
282,a,observações,o,americano,
283,caso,a,,,
284,a,observações,,,
285,a,observações,relações,,
286,relações,a,,,
287,a,a,as,entre,
288,relações,a,negros,,
289,entre,relações,e,brancos,
290,negros,entre,,,
291,negros,entre,,,
292,,,aplicação,maneira,.
293,maneira,sugere,,,
294,maneira,sugere,,,
295,sugere,,uma,nova,de
296,maneira,sugere,conceituar,,
297,de,maneira,argumentos,,
298,argumentos,conceituar,,,
299,conceituar,de,os,conhecidos,
300,conhecidos,argumentos,,,
301,argumentos,conceituar,já,de,
302,conhecidos,argumentos,legado,,
303,legado,de,,,
304,legado,de,,,
305,de,conhecidos,o,«,de
306,legado,de,escravidão,,
307,escravidão,de,,,
308,de,legado,a,,
309,legado,de,,,
310,sugere,,,,
311,terminou,abandonado,,,
312,terminou,abandonado,,,
313,abandonado,havia,Quando,ele,","
314,terminou,abandonado,,,
315,terminou,abandonado,22h10,,
316,22h10,a,,,
317,a,terminou,as,,
318,havia,,,,
319,havia,,de,,
320,metade,havia,pessoas,,
321,pessoas,de,,,
322,de,metade,as,,
323,,,",",metade,abandonado
324,havia,,terminou,local,
325,local,abandonado,,,
326,abandonado,havia,o,,
327,havia,,,,
328,,,mudanças,,
329,mudanças,Entenda,,,
330,Entenda,,as,de,
331,mudanças,Entenda,crise,,
332,crise,de,,,
333,crise,de,,,
334,de,mudanças,a,«,de
335,crise,de,meia-idade,,
336,meia-idade,de,,,
337,de,crise,a,,
338,crise,de,,,
339,levam,,,,
340,mudanças,levam,,,
341,levam,,as,em,
342,mudanças,levam,vida,,
343,vida,em,,,
344,em,mudanças,a,de,
345,vida,em,recém-aposentado,,
346,recém-aposentado,de,,,
347,de,vida,o,,
348,,,Muitas_vezes,mudanças,a
349,levam,,sensação,,
350,sensação,a,,,
351,a,levam,uma,de,
352,sensação,a,perda,,
