,LEMMA_PARENT,LEMMA_GRAND_PARENT,LEMMA_CHILD_1,LEMMA_CHILD_2,LEMMA_CHILD_3
0,série,estrear,,,
1,estrear,,o,exibir,
2,série,estrear,aqui,por,
3,exibir,série,,,
4,exibir,série,cultura,,
5,cultura,por,,,
6,por,exibir,o,,
7,,,série,em,.
8,estrear,,TVI,,
9,TVI,em,,,
10,em,estrear,o,de,
11,TVI,em,Portugal,,
12,de,TVI,,,
13,estrear,,,,
14,agredir,informar,,,
15,agredir,informar,,,
16,informar,,o,próprio,
17,,,agredir,a,de
18,informar,,polícia,,
19,polícia,a,,,
20,a,informar,o,,
21,informar,,tratar,,
22,tratar,de,,,
23,tratar,de,,,
24,tratar,de,,,
25,de,informar,que,não,se
26,tratar,de,agressor,,
27,agressor,de,,,
28,de,tratar,o,,
29,informar,,,,
30,fazer,,gramado,,
31,gramado,em,,,
32,em,fazer,o,,
33,fazer,,,,
34,fazer,,de,,
35,antes,fazer,jogo,,
36,jogo,de,,,
37,de,antes,o,,
38,fazer,,,,
39,fazer,,de,,
40,representante,fazer,torcida,,
41,torcida,de,,,
42,de,representante,o,de,
43,torcida,de,time,,
44,time,de,,,
45,time,de,,,
46,de,torcida,o,grande,de
47,time,de,São_Paulo,,
48,de,time,(,Corinthians,)
49,São_Paulo,de,,,
50,São_Paulo,de,",",São_Paulo,","
51,Corinthians,São_Paulo,,,
52,Corinthians,São_Paulo,,,
53,Corinthians,São_Paulo,,,
54,Corinthians,São_Paulo,,,
55,Corinthians,São_Paulo,,,
56,Corinthians,São_Paulo,,,
57,São_Paulo,de,,,
58,,,em,",",antes
59,manifestação,fazer,,,
60,fazer,,um,por,
61,manifestação,fazer,paz,,
62,paz,por,,,
63,por,manifestação,o,,
64,fazer,,,,
65,citar,,exemplo,,
66,como,citar,em,,
67,exemplo,como,combate,,
68,combate,em,,,
69,em,exemplo,o,a,
70,combate,em,violência,,
71,violência,a,,,
72,a,combate,o,,
73,citar,,,,
74,prefeito,citar,,,
75,citar,,o,carioca,
76,prefeito,citar,,,
77,,,como,",",prefeito
78,criação,citar,,,
79,citar,,o,de,
80,criação,citar,Guarda_Municipal,,
81,Guarda_Municipal,de,,,
