,FUNC-3,FUNC-2,FUNC-1,FUNC+1,FUNC+2,FUNC+3
0,,,,SUBJ,N<,ADVL
1,,,>N,N<,ADVL,PASS
2,,>N,SUBJ,ADVL,PASS,>N
3,>N,SUBJ,N<,PASS,>N,P<
4,SUBJ,N<,ADVL,>N,P<,STA
5,N<,ADVL,PASS,P<,STA,ADVL
6,ADVL,PASS,>N,STA,ADVL,>N
7,PASS,>N,P<,ADVL,>N,P<
8,>N,P<,STA,>N,P<,N<
9,P<,STA,ADVL,P<,N<,P<
10,STA,ADVL,>N,N<,P<,PU
11,ADVL,>N,P<,P<,PU,
12,>N,P<,N<,PU,,
13,P<,N<,P<,,,
14,,,,>N,SUBJ,STA
15,,,>N,SUBJ,STA,ADVL
16,,>N,>N,STA,ADVL,>N
17,>N,>N,SUBJ,ADVL,>N,P<
18,>N,SUBJ,STA,>N,P<,ACC
19,SUBJ,STA,ADVL,P<,ACC,SUB
20,STA,ADVL,>N,ACC,SUB,ADVL
21,ADVL,>N,P<,SUB,ADVL,ACC
22,>N,P<,ACC,ADVL,ACC,P<
23,P<,ACC,SUB,ACC,P<,PIV
24,ACC,SUB,ADVL,P<,PIV,>N
25,SUB,ADVL,ACC,PIV,>N,P<
26,ADVL,ACC,P<,>N,P<,PU
27,ACC,P<,PIV,P<,PU,
28,P<,PIV,>N,PU,,
29,PIV,>N,P<,,,
30,,,,>N,P<,PU
31,,,ADVL,P<,PU,ADVL
32,,ADVL,>N,PU,ADVL,A<
33,ADVL,>N,P<,ADVL,A<,>N
34,>N,P<,PU,A<,>N,P<
35,P<,PU,ADVL,>N,P<,PU
36,PU,ADVL,A<,P<,PU,SUBJ
37,ADVL,A<,>N,PU,SUBJ,N<
38,A<,>N,P<,SUBJ,N<,>N
39,>N,P<,PU,N<,>N,P<
40,P<,PU,SUBJ,>N,P<,N<
41,PU,SUBJ,N<,P<,N<,>N
42,SUBJ,N<,>N,N<,>N,>N
43,N<,>N,P<,>N,>N,P<
44,>N,P<,N<,>N,P<,N<
45,P<,N<,>N,P<,N<,P<
46,N<,>N,>N,N<,P<,PU
47,>N,>N,P<,P<,PU,N<PRED
48,>N,P<,N<,PU,N<PRED,PU
49,P<,N<,P<,N<PRED,PU,CJT
50,N<,P<,PU,PU,CJT,PU
51,P<,PU,N<PRED,CJT,PU,CJT
52,PU,N<PRED,PU,PU,CJT,CO
53,N<PRED,PU,CJT,CJT,CO,CJT
54,PU,CJT,PU,CO,CJT,PU
55,CJT,PU,CJT,CJT,PU,STA
56,PU,CJT,CO,PU,STA,>N
57,CJT,CO,CJT,STA,>N,ACC
58,CO,CJT,PU,>N,ACC,N<
59,CJT,PU,STA,ACC,N<,>N
60,PU,STA,>N,N<,>N,P<
61,STA,>N,ACC,>N,P<,PU
62,>N,ACC,N<,P<,PU,
63,ACC,N<,>N,PU,,
64,N<,>N,P<,,,
65,,,,SC,N<,>N
66,,,SC,N<,>N,P<
67,,SC,SC,>N,P<,N<
68,SC,SC,N<,P<,N<,>N
69,SC,N<,>N,N<,>N,P<
70,N<,>N,P<,>N,P<,PU
71,>N,P<,N<,P<,PU,>N
72,P<,N<,>N,PU,>N,SUBJ
73,N<,>N,P<,>N,SUBJ,N<
74,>N,P<,PU,SUBJ,N<,STA
75,P<,PU,>N,N<,STA,>N
76,PU,>N,SUBJ,STA,>N,ACC
77,>N,SUBJ,N<,>N,ACC,N<
78,SUBJ,N<,STA,ACC,N<,>N
79,N<,STA,>N,N<,>N,P<
80,STA,>N,ACC,>N,P<,PU
81,>N,ACC,N<,P<,PU,>N
82,ACC,N<,>N,PU,>N,N<PRED
83,N<,>N,P<,>N,N<PRED,N<
84,>N,P<,PU,N<PRED,N<,P<
85,P<,PU,>N,N<,P<,N<
86,PU,>N,N<PRED,P<,N<,SUBJ
87,>N,N<PRED,N<,N<,SUBJ,N<
88,N<PRED,N<,P<,SUBJ,N<,MV
89,N<,P<,N<,N<,MV,ADVL
90,P<,N<,SUBJ,MV,ADVL,PIV
91,N<,SUBJ,N<,ADVL,PIV,>N
